symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"shortness of breath, fatigue, wheezing",Asthma,Prednisolone,Kantakari,Breathing exercises,Always carry rescue inhaler and identify your asthma triggers,No
"early morning awakening, frequent awakening, irritability, mood changes",Insomnia,Zolpidem,Shankhpushpi,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"concentration problems, irritability, early morning awakening, mood changes, difficulty falling asleep",Insomnia,Melatonin,Shankhpushpi,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"swelling, knee ache, stiffness, limited movement",Knee Pain,Diclofenac,Shallaki,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"dizziness, jaw pain, sweating, nausea, fatigue",Heart Attack,Clopidogrel,Saraswatarishta,Loosen tight clothing,Heart attack is a medical emergency - call 108 immediately and rush to hospital,Yes
"greasy feeling, shiny skin, blackheads, acne, enlarged pores",Oily Skin,Salicylic Acid,Rose Water,Use toner,Use oil-free products and maintain consistent skincare routine,No
"dry skin, scaling",Skin Allergy,Prednisolone,Neem,Aloe vera gel,"Identify and avoid triggers, keep skin moisturized",No
"bloating, frequent bowel movements, weakness, dehydration",Diarrhea,ORS,Jeeraka Aristha,Buttermilk,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"cold fingers, blue fingers, poor circulation, numbness",Cold Hands,Vasodilators,Ashwagandha,Hand exercises,Keep hands warm and improve circulation with exercise,No
"stiffness, tingling, arm ache, weakness",Arm Pain,Ibuprofen,Sahacharadi Oil,Gentle stretching,Most arm pain resolves with rest and appropriate treatment,No
"no pulse, unconsciousness",Cardiac Arrest,Amiodarone,Hridayarnava Ras,Clear airway,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"throbbing, fatigue",Headache,Naproxen,Saraswat Churna,Apply cold compress,Most headaches respond well to rest and pain relievers,No
"redness, gum ache, bad breath, bleeding",Gum Pain,Pain Relievers,Yashtimadhu,Flossing,Good oral hygiene prevents most gum problems,No
"cracks, scaling",Dry Skin,Urea Cream,Coconut Oil,Gentle soaps,Keep skin moisturized and avoid harsh products,No
"unconsciousness, vomiting",Drug Overdose,Activated Charcoal,Call poison control,Do not induce vomiting,Drug overdose requires immediate emergency medical intervention,Yes
"nausea, weight loss",Loss of Appetite,Multivitamins,Ajwain,Light exercise,Eat small frequent meals and include favorite foods to stimulate appetite,No
"white tongue coating, mouth odor",Bad Breath,Antibiotics,Fennel,Use tongue scraper,Good oral hygiene and regular dental checkups prevent bad breath,No
"voice loss, hoarse voice",Voice Problems,Humidifiers,Yashtimadhu,Voice rest,Rest your voice and stay hydrated for vocal cord healing,No
"sweating without heat, social embarrassment, profuse sweating",Excessive Sweating,Surgery,Witch Hazel,Antiperspirants,Use clinical strength antiperspirants and wear breathable clothing,No
"fatigue, sleep problems, excessive worry",Anxiety,Escitalopram,Jatamansi,Deep breathing exercises,Practice relaxation techniques and consider counseling for anxiety management,No
"fatigue, swelling",Muscle Pain,Paracetamol,Mahanarayana Oil,Adequate rest,Most muscle pain resolves with rest and gentle stretching,No
"fungal infection, ingrown nails",Nail Problems,Proper Trimming,Garlic,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"sweating, chills, fatigue, loss of appetite",Fever,Mefenamic Acid,Tulsi,Light diet,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"dizziness, weakness",Severe Bleeding,Clotting Factors,Nagkesar,Keep patient warm,Apply firm pressure to bleeding area and call emergency immediately,Yes
"difficulty swallowing, swollen glands",Sore Throat,Paracetamol,Karpoor,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"chest tightness, wheezing",Breathing Problems,Inhaled Steroids,Bharangi,Avoid triggers,"Identify and avoid breathing triggers, keep rescue medications handy",No
"excessive shedding, itchy scalp, bald patches",Hair Loss,Biotin,Amla,Onion juice,Early treatment gives better results for hair loss,No
"bleeding, redness, gum ache",Gum Pain,Antiseptic Mouthwash,Triphala,Gentle brushing,Good oral hygiene prevents most gum problems,No
"difficulty walking, ankle ache",Ankle Pain,Topical Gels,Vishgarbha Oil,Proper footwear,Most ankle injuries heal with rest and appropriate care,No
"difficulty eating, swelling, burning, taste changes",Tongue Pain,Antifungal Medications,Coconut Oil,Avoid spicy foods,Most tongue pain resolves with proper oral care and avoiding irritants,No
"confusion, no urination",Severe Dehydration,Sodium Chloride,Immediate medical care needed,Monitor consciousness,Severe dehydration requires immediate IV fluid replacement,Yes
"severe headache, dizziness, loss of balance, speech difficulty",Stroke,Clopidogrel,Shankhpushpi,Note time of symptoms,Time is brain - every minute matters in stroke treatment,Yes
"gum ache, bad breath, bleeding, swelling",Gum Pain,Topical Gels,Triphala,Salt water rinse,Good oral hygiene prevents most gum problems,No
"indigestion, stomach pain, belching, bloating",Acidity,Omeprazole,Shatavari,Drink cold milk,Lifestyle changes and proper diet can effectively manage acidity,No
"nausea, headache",Hangover,Anti-nausea Medications,Coconut Water,Drink water,Time and hydration are the best cures for hangover,No
"fatigue, loose clothing, loss of muscle mass",Weight Loss,Multivitamins,Drakshasava,Frequent meals,Focus on nutrient-dense foods and consult doctor for unexplained weight loss,No
"social embarrassment, wet clothes",Excessive Sweating,Iontophoresis,Rose Water,Breathable fabrics,Use clinical strength antiperspirants and wear breathable clothing,No
"persistent sadness, appetite changes, hopelessness, sleep problems",Depression,Escitalopram,Saraswatarishta,Meditation,Depression is treatable - seek professional help and maintain social connections,No
"no pulse, unconsciousness, blue skin",Cardiac Arrest,Dopamine,Saraswatarishta,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"abdominal pain, cramping",Stomach Pain,Antispasmodics,Hingwashtak Churna,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"vision problems, speech difficulty, dizziness",Stroke,Clopidogrel,Shankhpushpi,Do not give food or water,Time is brain - every minute matters in stroke treatment,Yes
"weakness, numbness",Wrist Pain,Paracetamol,Sahacharadi Oil,Ergonomic adjustments,Wrist pain often results from repetitive use - take regular breaks,No
"headache, muscle aches, sensitivity to light, fatigue, dehydration",Hangover,Anti-nausea Medications,Mint,Drink water,Time and hydration are the best cures for hangover,No
"no urination, rapid heartbeat, dizziness, confusion, sunken eyes",Severe Dehydration,IV Fluids,Coconut Water,Seek immediate medical care,Severe dehydration requires immediate IV fluid replacement,Yes
"swelling, pain while chewing, sensitivity, toothache, throbbing pain",Tooth Pain,Topical Anesthetics,Akarkara,Clove oil,See dentist promptly for proper diagnosis and treatment,No
"difficulty moving, muscle spasms, lower back pain, stiffness",Back Pain,Ibuprofen,Yograj Guggulu,Hot compress,Most back pain improves with rest and physiotherapy,No
"tightness, chest discomfort",Chest Pain,Paracetamol,Saraswatarishta,Warm compress,Non-cardiac chest pain usually responds to rest and pain relief,No
"minor blisters, redness, pain, swelling",Minor Burns,Cool Water,Turmeric,Avoid ice,"Cool water immediately, keep burn clean and protected",No
"redness, gum ache, tenderness, bleeding, swelling",Gum Pain,Professional Cleaning,Nimba,Gentle brushing,Good oral hygiene prevents most gum problems,No
"blisters, difficulty breathing, shock, swelling, severe pain",Severe Burns,IV Fluids,Manjistha,Cool water immediately,Severe burns need immediate medical attention to prevent complications,Yes
"fatigue, sleep problems",Anxiety,Sertraline,Shankhpushpi,Adequate sleep,Practice relaxation techniques and consider counseling for anxiety management,No
"difficulty concentrating, weakness",Fatigue,Multivitamins,Amalaki,Healthy diet,Maintain regular sleep schedule and balanced diet for energy,No
"pain with movement, joint stiffness, swelling, warmth in joints, reduced mobility",Joint Pain,Glucosamine,Nirgundi,Turmeric milk,Regular exercise and weight management help preserve joint health,No
"loss of appetite, nausea, weakness",Vomiting,Metoclopramide,Lavang,ORS solution,Replace lost fluids and seek help if vomiting persists,No
"confusion, poor focus",Memory Problems,Multivitamins,Mandukaparni,Mental exercises,Keep mind active with mental exercises and maintain healthy lifestyle,No
"sensitivity to light, severe headache, confusion",Meningitis,Mannitol,Brahmi,Avoid close contact,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"nausea, muscle aches, sensitivity to light, dehydration, fatigue",Hangover,Pain Relievers,Coconut Water,Electrolyte drinks,Time and hydration are the best cures for hangover,No
"itching, swelling, scaling",Skin Rash,Hydrocortisone,Haridra,Avoid scratching,"Keep skin clean and moisturized, identify and avoid triggers",No
"pain, bleeding",Minor Cuts,Pain Relievers,Calendula,Apply pressure,"Keep wound clean and dry, change dressing regularly",No
"stiffness, cramps, fatigue, tenderness, swelling",Muscle Pain,Paracetamol,Rasna,Adequate rest,Most muscle pain resolves with rest and gentle stretching,No
"arm ache, tingling",Arm Pain,Physiotherapy,Rasna,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"throat pain, scratchy feeling, hoarse voice",Sore Throat,Ibuprofen,Tulsi,Honey with warm water,Most sore throats are viral and resolve with symptomatic treatment,No
"cold hands and feet, fatigue",Iron Deficiency Anemia,Iron Sucrose,Punarnava,Iron rich foods,Take iron supplements with vitamin C for better absorption,No
"headache, fatigue, nausea",Hangover,Pain Relievers,Ginger,Drink water,Time and hydration are the best cures for hangover,No
"indigestion, sour taste",Acidity,Ranitidine,Praval Pishti,Avoid spicy food,Lifestyle changes and proper diet can effectively manage acidity,No
"difficulty breathing, chest congestion, rattling sound, productive cough, mucus",Wet Cough,Expectorants,Kantakari,Honey,Expectorants help thin mucus and make coughing more productive,No
"rapid pulse, loss of consciousness, widespread rash, swelling of face, vomiting",Severe Allergic Reaction,Cetirizine,Mahamanjisthadi Kwath,Call emergency immediately,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"pain while chewing, throbbing pain",Tooth Pain,Topical Anesthetics,Trikatu,Clove oil,See dentist promptly for proper diagnosis and treatment,No
"early waking, fatigue, frequent waking, difficulty falling asleep, daytime sleepiness",Sleep Problems,Clonazepam,Ashwagandha,Regular sleep schedule,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"pain with gripping, swelling, elbow ache, weakness, stiffness",Elbow Pain,Topical Gels,Nirgundi,Avoid repetitive activities,Elbow pain improves with rest and avoiding aggravating activities,No
"difficulty gripping, stiffness, finger ache",Finger Pain,Ibuprofen,Rasna,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"pale skin, cold hands and feet, restless legs, weakness, fatigue",Iron Deficiency Anemia,Iron Sucrose,Punarnava,Iron rich foods,Take iron supplements with vitamin C for better absorption,No
"hip ache, stiffness, pain in groin, difficulty walking",Hip Pain,Topical Gels,Nirgundi,Gentle stretching,Hip pain often improves with physiotherapy and appropriate exercises,No
"sour taste, nausea, bloating, heartburn",Acidity,Pantoprazole,Praval Pishti,Chew fennel seeds,Lifestyle changes and proper diet can effectively manage acidity,No
"splitting, brittle nails, ingrown nails, fungal infection, discoloration",Nail Problems,Antifungal Medications,Turmeric,Keep nails clean,Maintain good nail hygiene and avoid trauma to nails,No
"itching, ear ache, discharge, hearing difficulty",Ear Pain,Paracetamol,Bilva Taila,Avoid water in ears,Most ear pain resolves with proper treatment and care,No
"limited movement, knee ache, swelling, stiffness, clicking sound",Knee Pain,Chondroitin,Maharasnadi Kwath,Ice therapy,Maintain healthy weight and do regular low-impact exercises for knee health,No
"confusion, nausea",Kidney Failure,Phosphate Binders,Chandraprabha Vati,Monitor fluid intake,Kidney failure requires immediate medical intervention and dialysis,Yes
"foot ache, toe pain, stiffness",Foot Pain,Foot Pads,Eranda,Proper footwear,Proper footwear and foot care prevent most foot problems,No
"frequent infections, muscle weakness, fatigue, bone pain",Vitamin D Deficiency,Vitamin D3,Praval Pishti,Vitamin D rich foods,Regular sunlight exposure and vitamin D supplements help,No
"pain with gripping, weakness",Elbow Pain,Topical Gels,Nirgundi,Rest,Elbow pain improves with rest and avoiding aggravating activities,No
